"id","name","referralId","hasPerk","location.address","location.crossStreet","location.lat","location.lng","location.labeledLatLngs","location.distance","location.postalCode","location.cc","location.city","location.state","location.country","location.neighborhood","delivery.id","delivery.url","delivery.provider.name","delivery.provider.icon.prefix","delivery.provider.icon.sizes","delivery.provider.icon.name","venuePage.id","pluralName","shortName","icon","primary"
4b8afc37f964a520ab8c32e3,Mario's Mexican & Salvadorian Restaurant,v-1525633969,FALSE,5404 Lemmon Ave,at Dorothy Ave,32.8271880791534,-96.8230817008771,list(label = "display", lat = 32.8271880791534, lng = -96.8230817008771),5267,75209,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,485942210,Southern / Soul Food Restaurants,Southern / Soul,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/southern_", suffix = ".png"),TRUE
4fafa64d754a19c8e3dc637d,Centric Restaurant,v-1525633969,FALSE,650 N Pearl St,NA,32.786748489557,-96.7957827487951,list(label = "display", lat = 32.786748489557, lng = -96.7957827487951),585,75201,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Pubs,Pub,list(prefix = "https://ss3.4sqi.net/img/categories_v2/nightlife/pub_", suffix = ".png"),TRUE
41afac80f964a520611e1fe3,Trinity Hall Irish Pub and Restaurant,v-1525633969,FALSE,5321 E Mockingbird Ln,in Mockingbird Station,32.8379960276932,-96.7759499668987,list(label = "display", lat = 32.8379960276932, lng = -96.7759499668987),6478,75206,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,34160106,Greek Restaurants,Greek,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/greek_", suffix = ".png"),TRUE
4af70a86f964a5201b0522e3,T/X Restaurant & Bar,v-1525633969,FALSE,2927 Maple Ave,Wolf,32.7977593262622,-96.8075821954796,list(label = "display", lat = 32.7977593262622, lng = -96.8075821954796),1686,75201,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,33101501,Diners,Diner,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/diner_", suffix = ".png"),TRUE
4b735de3f964a520f3aa2de3,Celebration Restaurant,v-1525633969,FALSE,4503 W Lovers Ln,NA,32.8514177514968,-96.8332898397754,list(label = "display", lat = 32.8514177514968, lng = -96.8332898397754),8125,75209,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Diners,Diner,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/diner_", suffix = ".png"),TRUE
5114228ce4b02cf782f651b4,Dragon Palace Chinese Restaurant,v-1525633969,FALSE,Village Plaza,Constant Spring Road,32.7800592529448,-96.8009792447021,list(label = "display", lat = 32.7800592529448, lng = -96.8009792447021),405,75202,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Bars,Bar,list(prefix = "https://ss3.4sqi.net/img/categories_v2/nightlife/pub_", suffix = ".png"),TRUE
55e64275498e7263eeda1593,Szechuan Chinese Restaurant,v-1525633969,FALSE,4411 Lemmon Ave,NA,32.8184137549434,-96.8135254932345,list(label = "display", lat = 32.8184137549434, lng = -96.8135254932345),4041,75219,US,Dallas,TX,United States,NA,545184,https://www.grubhub.com/restaurant/szechuan-chinese-restaurant-4411-lemmon-ave-ste-108-dallas/545184?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=545184,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,NA,Diners,Diner,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/diner_", suffix = ".png"),TRUE
4bef1b47f2712d7f4252fbd8,Campisi's Restaurant - Lovers Lane,v-1525633969,FALSE,5405 W Lovers Ln,at Inwood Rd.,32.8514713780118,-96.8201771087866,list(label = "display", lat = 32.8514713780118, lng = -96.8201771087866),7757,75209,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,New American Restaurants,New American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/newamerican_", suffix = ".png"),TRUE
4a8c475bf964a520880d20e3,Kalachandji's Restaurant & Palace,v-1525633969,FALSE,5430 Gurley Ave,at Graham Av,32.7940829741117,-96.7500916356626,list(label = "display", lat = 32.7940829741117, lng = -96.7500916356626),4891,75223,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,42258743,Italian Restaurants,Italian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/italian_", suffix = ".png"),TRUE
4ab0347cf964a5206f6620e3,Campisi's Restaurant - The Egyptian Lounge,v-1525633969,FALSE,5610 E Mockingbird Ln,NA,32.8363109544121,-96.7716431769187,list(label = "display", lat = 32.8363109544121, lng = -96.7716431769187),6464,75206,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
4a391571f964a5201d9f1fe3,Gonzalez Restaurant,v-1525633969,FALSE,367 W Jefferson Blvd,NA,32.7433,-96.828,list(label = "display", lat = 32.7433, lng = -96.828),5164,75208,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4a79ddf7f964a520d7e71fe3,Mai's Vietnamese Restaurant,v-1525633969,FALSE,4812 Bryan St Ste 100,at N. Fitzhugh Ave.,32.8036833210849,-96.7736804828911,list(label = "display", lat = 32.8036833210849, lng = -96.7736804828911),3380,75204,US,Dallas,TX,United States,NA,681520,https://www.grubhub.com/restaurant/mais-restaurant-4812-bryan-st-ste-100-dallas/681520?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=681520,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,NA,Japanese Restaurants,Japanese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/japanese_", suffix = ".png"),TRUE
4abbf356f964a5209e8520e3,Desperados Mexican Restaurant,v-1525633969,FALSE,4818 Greenville Ave,at E. University Blvd.,32.8462772954933,-96.7697487185139,list(label = "display", lat = 32.8462772954933, lng = -96.7697487185139),7550,75206,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,44257917,Indian Restaurants,Indian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/indian_", suffix = ".png"),TRUE
40e0b100f964a520a1081fe3,Humperdinks Restaurant & Brewpub - Greenville,v-1525633969,FALSE,6050 Greenville Ave,btwn Southwestern Blvd. & Caruth Haven Ln.,32.8586937403236,-96.7681031683264,list(label = "display", lat = 32.8586937403236, lng = -96.7681031683264),8893,75206,US,Dallas,TX,United States,The Village,NA,NA,NA,NA,NULL,NA,58395596,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4b1a8a2af964a520e0eb23e3,Panda's Restaurant & Bar,v-1525633969,FALSE,3917 Cedar Springs Rd,at Throckmorton St.,32.8107702021132,-96.8110490997932,list(label = "display", lat = 32.8107702021132, lng = -96.8110490997932),3160,75219,US,Dallas,TX,United States,NA,476101,https://www.grubhub.com/restaurant/pandas-restaurant--bar-3917-cedar-spring-rd-dallas/476101?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=476101,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,NA,Indian Restaurants,Indian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/indian_", suffix = ".png"),TRUE
4b685ef0f964a52077742be3,Amore Italian Restaurant,v-1525633969,FALSE,6931 Snider Plz,Westminister,32.8501228146429,-96.7879810687021,list(label = "display", lat = 32.8501228146429, lng = -96.7879810687021),7492,75205,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Italian Restaurants,Italian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/italian_", suffix = ".png"),TRUE
4b8161b7f964a520a4a230e3,Landmark Restaurant,v-1525633969,FALSE,3015 Oak Lawn Ave,Warwick Melrose Hotel,32.8086937399496,-96.8092297786414,list(label = "display", lat = 32.8086937399496, lng = -96.8092297786414),2889,75219,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Indian Restaurants,Indian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/indian_", suffix = ".png"),TRUE
4addeb65f964a520406621e3,Kay's Restaurant,v-1525633969,FALSE,8010 N Stemmons Fwy,NA,32.8233804093737,-96.8702388961961,list(label = "display", lat = 32.8233804093737, lng = -96.8702388961961),7850,75247,US,Dallas,TX,United States,NA,557739,https://www.grubhub.com/restaurant/kays-restaurant-and-bar-8010-n-stemmons-fwy-dallas/557739?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=557739,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,NA,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4d9d283aa695721e131d0c0d,Suze Restaurant,v-1525633969,FALSE,4345 W Northwest Hwy #270,NA,32.8653676980052,-96.8360716026343,list(label = "display", lat = 32.8653676980052, lng = -96.8360716026343),9668,75220,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Italian Restaurants,Italian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/italian_", suffix = ".png"),TRUE
4c2b8aba72169521671b7f8f,Eighteen 0 One Restaurant,v-1525633969,FALSE,1801 N Griffin St,@ The Dallas World Aquarium,32.7832758,-96.8046586166667,list(label = "display", lat = 32.7832758, lng = -96.8046586166667),356,75202,US,Dallas,TX,United States,NA,NA,NA,NA,NA,NULL,NA,NA,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
